timestamp,cpu_usage
2026-05-25 11:41:06,0.2
2026-05-25 11:42:04,42.8
2026-05-25 11:43:02,31.9
2026-05-25 11:44:00,5.6
2026-05-25 11:44:58,14.8
2026-05-25 11:45:56,4.8
2026-05-25 11:46:54,9.7
2026-05-25 11:47:52,10.9
2026-05-25 11:48:50,3.8
2026-05-25 11:49:48,12.4
2026-05-25 11:50:46,6.5
2026-05-25 11:51:44,11.2
2026-05-25 11:52:42,9.2
2026-05-25 11:53:40,17.8
2026-05-25 11:54:37,19.9
2026-05-25 11:55:35,34.9
2026-05-25 11:56:33,31.5
2026-05-25 11:57:31,13.2
2026-05-25 11:58:30,5.7
2026-05-25 11:59:28,7.8
2026-05-25 12:00:26,12.8
2026-05-25 12:01:24,9.2
2026-05-25 12:02:22,8.5
2026-05-25 12:03:20,14.9
2026-05-25 12:04:18,21.7
2026-05-25 12:05:16,30.6
2026-05-25 12:06:14,11.2
2026-05-25 12:07:12,13.4
2026-05-25 12:08:10,12.7
2026-05-25 12:09:08,29.3
2026-05-25 12:10:06,33.0
2026-05-25 12:11:04,9.2
2026-05-25 12:12:02,14.2
2026-05-25 12:13:00,18.0
2026-05-25 12:13:58,13.9
2026-05-25 12:14:56,11.2
2026-05-25 12:15:54,7.0
2026-05-25 12:16:52,9.2
2026-05-25 12:17:51,6.8
2026-05-25 12:18:49,16.1
2026-05-25 12:19:47,25.9
2026-05-25 12:20:45,21.7
2026-05-25 12:21:43,17.0
2026-05-25 12:22:41,0.2
2026-05-25 12:23:39,0.0
2026-05-25 12:24:37,6.2
2026-05-25 12:25:35,10.2
2026-05-25 12:26:33,9.2
2026-05-25 12:27:32,18.2
2026-05-25 12:28:30,25.4
2026-05-25 12:29:28,19.5
2026-05-25 12:30:26,17.7
2026-05-25 12:31:24,11.2
2026-05-25 12:32:22,14.3
2026-05-25 12:33:20,24.0
2026-05-25 12:34:19,17.5
2026-05-25 12:35:17,14.7
2026-05-25 12:36:15,28.7
2026-05-25 12:37:13,10.4
2026-05-25 12:38:11,14.5
2026-05-25 12:39:10,14.5
2026-05-25 12:40:08,10.3
2026-05-25 12:41:06,18.8
2026-05-25 12:42:04,8.2
2026-05-25 12:43:02,27.1
2026-05-25 12:44:01,9.0
2026-05-25 12:44:59,22.5
2026-05-25 12:45:57,14.5
2026-05-25 12:46:55,15.7
2026-05-25 12:47:54,33.1
2026-05-25 12:48:52,31.4
2026-05-25 12:49:50,17.6
2026-05-25 12:50:48,4.2
2026-05-25 12:51:47,9.5
2026-05-25 12:52:45,13.0
2026-05-25 12:53:43,8.7
2026-05-25 12:54:41,12.3
2026-05-25 12:55:40,1.8
2026-05-25 12:56:38,21.8
2026-05-25 12:57:36,14.4
2026-05-25 12:58:34,14.4
2026-05-25 12:59:33,17.9
2026-05-25 13:00:31,22.7
2026-05-25 13:01:29,30.5
2026-05-25 13:02:28,12.9
2026-05-25 13:03:26,21.9
2026-05-25 13:04:24,24.7
2026-05-25 13:05:22,21.9
2026-05-25 13:06:21,4.5
2026-05-25 13:07:19,47.3
